config,run,norm,eps,acc
mnist_mlp_ceb_beta1,1,linf,0.1,0.0990000069141388
mnist_mlp_ceb_beta1,1,linf,0.15,0.0990000069141388
mnist_mlp_ceb_beta1,1,linf,0.2,0.0990000069141388
mnist_mlp_ceb_beta1,1,linf,0.25,0.0990000069141388
mnist_mlp_ceb_beta1,1,linf,0.3,0.0990000069141388
mnist_mlp_ceb_beta1,1,l2,0.5,0.0990000069141388
mnist_mlp_ceb_beta1,1,l2,1,0.0990000069141388
mnist_mlp_ceb_beta1,1,l2,1.5,0.0990000069141388
mnist_mlp_ceb_beta1,1,l2,2,0.0990000069141388
mnist_mlp_ceb_beta1,1,l2,2.5,0.0990000069141388
mnist_mlp_ceb_beta1,1,l2,3,0.0990000069141388
mnist_mlp_ceb_beta1,2,none,0,0.30800002813339233
mnist_mlp_ceb_beta1,2,linf,0.05,0.30100002884864807
mnist_mlp_ceb_beta1,2,linf,0.1,0.2900000214576721
mnist_mlp_ceb_beta1,2,linf,0.15,0.25200000405311584
mnist_mlp_ceb_beta1,2,linf,0.2,0.21300001442432404
mnist_mlp_ceb_beta1,2,linf,0.25,0.1770000010728836
mnist_mlp_ceb_beta1,2,linf,0.3,0.12700000405311584
mnist_mlp_ceb_beta1,2,l2,0.5,0.3060000240802765
mnist_mlp_ceb_beta1,2,l2,1,0.30100002884864807
mnist_mlp_ceb_beta1,2,l2,1.5,0.2990000247955322
mnist_mlp_ceb_beta1,2,l2,2,0.289000004529953
mnist_mlp_ceb_beta1,2,l2,2.5,0.27000001072883606
mnist_mlp_ceb_beta1,2,l2,3,0.24800001084804535
mnist_mlp_ceb_beta1,3,none,0,0.2240000069141388
mnist_mlp_ceb_beta1,3,linf,0.05,0.22100001573562622
mnist_mlp_ceb_beta1,3,linf,0.1,0.20800000429153442
mnist_mlp_ceb_beta1,3,linf,0.15,0.18800000846385956
mnist_mlp_ceb_beta1,3,linf,0.2,0.1680000126361847
mnist_mlp_ceb_beta1,3,linf,0.25,0.13500000536441803
mnist_mlp_ceb_beta1,3,linf,0.3,0.10700000822544098
mnist_mlp_ceb_beta1,3,l2,0.5,0.22300000488758087
mnist_mlp_ceb_beta1,3,l2,1,0.22100001573562622
mnist_mlp_ceb_beta1,3,l2,1.5,0.2150000035762787
mnist_mlp_ceb_beta1,3,l2,2,0.20400001108646393
mnist_mlp_ceb_beta1,3,l2,2.5,0.19100001454353333
mnist_mlp_ceb_beta1,3,l2,3,0.17900000512599945
mnist_mlp_ceb_beta1,4,none,0,0.4870000183582306
mnist_mlp_ceb_beta1,4,linf,0.05,0.47700002789497375
mnist_mlp_ceb_beta1,4,linf,0.1,0.45600003004074097
mnist_mlp_ceb_beta1,4,linf,0.15,0.406000018119812
mnist_mlp_ceb_beta1,4,linf,0.2,0.3290000259876251
mnist_mlp_ceb_beta1,4,linf,0.25,0.24800001084804535
mnist_mlp_ceb_beta1,4,linf,0.3,0.15700000524520874
mnist_mlp_ceb_beta1,4,l2,0.5,0.48500001430511475
mnist_mlp_ceb_beta1,4,l2,1,0.4780000150203705
mnist_mlp_ceb_beta1,4,l2,1.5,0.47200003266334534
mnist_mlp_ceb_beta1,4,l2,2,0.4580000340938568
mnist_mlp_ceb_beta1,4,l2,2.5,0.4410000145435333
mnist_mlp_ceb_beta1,4,l2,3,0.4140000343322754
mnist_mlp_ceb_beta1,5,none,0,0.22300000488758087
mnist_mlp_ceb_beta1,5,linf,0.05,0.21900001168251038
mnist_mlp_ceb_beta1,5,linf,0.1,0.2070000171661377
mnist_mlp_ceb_beta1,5,linf,0.15,0.17900000512599945
mnist_mlp_ceb_beta1,5,linf,0.2,0.13900001347064972
mnist_mlp_ceb_beta1,5,linf,0.25,0.1120000034570694
mnist_mlp_ceb_beta1,5,linf,0.3,0.0990000069141388
mnist_mlp_ceb_beta1,5,l2,0.5,0.22300000488758087
mnist_mlp_ceb_beta1,5,l2,1,0.21900001168251038
mnist_mlp_ceb_beta1,5,l2,1.5,0.21700000762939453
mnist_mlp_ceb_beta1,5,l2,2,0.20800000429153442
mnist_mlp_ceb_beta1,5,l2,2.5,0.1980000138282776
mnist_mlp_ceb_beta1,5,l2,3,0.1770000010728836
mnist_mlp_ceb_beta0.1,1,none,0,0.9810000658035278
mnist_mlp_ceb_beta0.1,1,linf,0.05,0.9070000648498535
mnist_mlp_ceb_beta0.1,1,linf,0.1,0.7490000128746033
mnist_mlp_ceb_beta0.1,1,linf,0.15,0.43800002336502075
mnist_mlp_ceb_beta0.1,1,linf,0.2,0.24500000476837158
mnist_mlp_ceb_beta0.1,1,linf,0.25,0.12600000202655792
mnist_mlp_ceb_beta0.1,1,linf,0.3,0.07100000232458115
mnist_mlp_ceb_beta0.1,1,l2,0.5,0.9580000638961792
